ID,Year,Erupt Date,Name,Location,Island,Country,Latitude,Longitude,Geo Location,Elevation (m),Type
1,1311,1/1/1311,Kelut,Java,Java,Indonesia,-7.93,112.308,"-7.93,112.308",1731,Stratovolcano
2,1334,1/1/1334,Kelut,Java,Java,Indonesia,-7.93,112.308,"-7.93,112.308",1731,Stratovolcano
3,1376,1/1/1376,Kelut,Java,Java,Indonesia,-7.93,112.308,"-7.93,112.308",1731,Stratovolcano
4,1385,1/1/1385,Kelut,Java,Java,Indonesia,-7.93,112.308,"-7.93,112.308",1731,Stratovolcano
5,1550,11/1/1550,Dukono,Halmahera-Indonesia,Halmahera,Indonesia,1.693,127.894,"1.693,127.894",1229,Complex volcano
6,1564,12/31/1564,Gamkonora,Halmahera-Indonesia,Halmahera,Indonesia,1.38,127.53,"1.38,127.53",1635,Stratovolcano
7,1586,1/1/1586,Kelut,Java,Java,Indonesia,-7.93,112.308,"-7.93,112.308",1731,Stratovolcano
8,1587,1/1/1587,Merapi,Java,Java,Indonesia,-7.54,110.446,"-7.54,110.446",2910,Stratovolcano
9,1593,1/1/1593,Raung,Java,Java,Indonesia,-8.119,114.056,"-8.119,114.056",3260,Stratovolcano
10,1597,1/1/1597,Raung,Java,Java,Indonesia,-8.119,114.056,"-8.119,114.056",3260,Stratovolcano
11,1608,7/18/1608,Gamalama,Halmahera-Indonesia,Halmahera,Indonesia,0.8,127.33,"0.8,127.33",1715,Stratovolcano
12,1638,1/1/1638,Raung,Java,Java,Indonesia,-8.119,114.056,"-8.119,114.056",3260,Stratovolcano
13,1646,7/19/1646,Makian,Halmahera-Indonesia,Halmahera,Indonesia,0.32,127.4,"0.32,127.4",1357,Stratovolcano
14,1672,8/4/1672,Merapi,Java,Java,Indonesia,-7.54,110.446,"-7.54,110.446",2910,Stratovolcano
15,1673,5/20/1673,Gamkonora,Halmahera-Indonesia,Halmahera,Indonesia,1.38,127.53,"1.38,127.53",1635,Stratovolcano
16,1690,1/1/1690,Guntur,Java,Java,Indonesia,-7.143,107.84,"-7.143,107.84",2249,Complex volcano
17,1698,1/1/1698,Cereme,Java,Java,Indonesia,-6.895,108.408,"-6.895,108.408",3039,Stratovolcano
18,1711,12/11/1711,Awu,Sangihe Is-Indonesia,Sangihe,Indonesia,3.689,125.447,"3.689,125.447",1318,Stratovolcano
19,1716,7/20/1716,Kelut,Java,Java,Indonesia,-7.93,112.308,"-7.93,112.308",1731,Stratovolcano
20,1730,1/1/1730,Raung,Java,Java,Indonesia,-8.119,114.056,"-8.119,114.056",3260,Stratovolcano
21,1760,1/1/1760,Makian,Halmahera-Indonesia,Halmahera,Indonesia,0.32,127.4,"0.32,127.4",1357,Stratovolcano
22,1772,5/9/1772,Gamalama,Halmahera-Indonesia,Halmahera,Indonesia,0.8,127.33,"0.8,127.33",1715,Stratovolcano
23,1772,8/12/1772,Papandayan,Java,Java,Indonesia,-7.32,107.73,"-7.32,107.73",2665,Stratovolcano
24,1773,2/2/1773,Gamalama,Halmahera-Indonesia,Halmahera,Indonesia,0.8,127.33,"0.8,127.33",1715,Stratovolcano
25,1775,1/1/1775,Gamalama,Halmahera-Indonesia,Halmahera,Indonesia,0.8,127.33,"0.8,127.33",1715,Stratovolcano
26,1775,1/1/1775,Lokon-Empung,Sulawesi-Indonesia,Sulawesi,Indonesia,1.358,124.792,"1.358,124.792",1580,Stratovolcano
27,1786,1/1/1786,Dieng Volcanic Complex,Java,Java,Indonesia,-7.2,109.879,"-7.2,109.879",2565,Complex volcano
28,1800,10/8/1800,Guntur,Java,Java,Indonesia,-7.143,107.84,"-7.143,107.84",2249,Complex volcano
29,1812,8/6/1812,Awu,Sangihe Is-Indonesia,Sangihe,Indonesia,3.689,125.447,"3.689,125.447",1318,Stratovolcano
30,1815,4/10/1815,Tambora,Lesser Sunda Is,Nusa Tenggara,Indonesia,-8.25,118,"-8.25,118",2850,Stratovolcano
31,1817,1/24/1817,Ijen,Java,Java,Indonesia,-8.058,114.242,"-8.058,114.242",2769,Stratovolcano
32,1817,1/1/1817,Raung,Java,Java,Indonesia,-8.119,114.056,"-8.119,114.056",3260,Stratovolcano
33,1822,10/8/1822,Galunggung,Java,Java,Indonesia,-7.25,108.058,"-7.25,108.058",2168,Stratovolcano
34,1822,12/27/1822,Merapi,Java,Java,Indonesia,-7.54,110.446,"-7.54,110.446",2910,Stratovolcano
35,1826,10/11/1826,Kelut,Java,Java,Indonesia,-7.93,112.308,"-7.93,112.308",1731,Stratovolcano
36,1826,10/11/1826,Dieng Volcanic Complex,Java,Java,Indonesia,-7.2,109.879,"-7.2,109.879",2565,Complex volcano
37,1829,1/1/1829,Guntur,Java,Java,Indonesia,-7.143,107.84,"-7.143,107.84",2249,Complex volcano
38,1832,12/25/1832,Merapi,Java,Java,Indonesia,-7.54,110.446,"-7.54,110.446",2910,Stratovolcano
39,1833,11/24/1833,Kaba,Sumatra,Sumatra,Indonesia,-3.522,102.615,"-3.522,102.615",1940,Stratovolcano
40,1837,9/1/1837,Peuet Sague,Sumatra,Sumatra,Indonesia,4.903,96.289,"4.903,96.289",2785,Complex volcano
41,1838,2/26/1838,Gamalama,Halmahera-Indonesia,Halmahera,Indonesia,0.8,127.33,"0.8,127.33",1715,Stratovolcano
42,1840,2/2/1840,Gamalama,Halmahera-Indonesia,Halmahera,Indonesia,0.8,127.33,"0.8,127.33",1715,Stratovolcano
43,1843,8/1/1843,Lamongan,Java,Java,Indonesia,-7.981,113.341,"-7.981,113.341",1641,Stratovolcano
44,1845,2/8/1845,Soputan,Sulawesi-Indonesia,Sulawesi,Indonesia,1.112,124.737,"1.112,124.737",1785,Stratovolcano
45,1846,5/27/1846,Tangkuban Parahu,Java,Java,Indonesia,-6.77,107.6,"-6.77,107.6",2084,Stratovolcano
46,1847,12/4/1847,Dieng Volcanic Complex,Java,Java,Indonesia,-7.2,109.879,"-7.2,109.879",2565,Complex volcano
47,1848,5/16/1848,Kelut,Java,Java,Indonesia,-7.93,112.308,"-7.93,112.308",1731,Stratovolcano
48,1856,3/2/1856,Awu,Sangihe Is-Indonesia,Sangihe,Indonesia,3.689,125.447,"3.689,125.447",1318,Stratovolcano
49,1860,4/1/1860,Semeru,Java,Java,Indonesia,-8.108,112.922,"-8.108,112.922",3657,Stratovolcano
50,1861,12/29/1861,Makian,Halmahera-Indonesia,Halmahera,Indonesia,0.32,127.4,"0.32,127.4",1357,Stratovolcano
51,1864,1/3/1864,Kelut,Java,Java,Indonesia,-7.93,112.308,"-7.93,112.308",1731,Stratovolcano
52,1869,7/7/1869,Lewotobi,Lesser Sunda Is,Nusa Tenggara,Indonesia,-8.542,122.775,"-8.542,122.775",1703,Stratovolcano
53,1869,8/1/1869,Lamongan,Java,Java,Indonesia,-7.981,113.341,"-7.981,113.341",1641,Stratovolcano
54,1870,8/1/1870,Ruang,Sangihe Is-Indonesia,Sangihe,Indonesia,2.3,125.37,"2.3,125.37",725,Stratovolcano
55,1870,1/1/1870,Iliwerung,Lesser Sunda Is,Nusa Tenggara,Indonesia,-8.53,123.57,"-8.53,123.57",1018,Complex volcano
56,1871,3/3/1871,Ruang,Sangihe Is-Indonesia,Sangihe,Indonesia,2.3,125.37,"2.3,125.37",725,Stratovolcano
57,1871,8/7/1871,Gamalama,Halmahera-Indonesia,Halmahera,Indonesia,0.8,127.33,"0.8,127.33",1715,Stratovolcano
58,1872,4/15/1872,Merapi,Java,Java,Indonesia,-7.54,110.446,"-7.54,110.446",2910,Stratovolcano
59,1872,4/17/1872,Merapi,Java,Java,Indonesia,-7.54,110.446,"-7.54,110.446",2910,Stratovolcano
60,1872,11/3/1872,Merapi,Java,Java,Indonesia,-7.54,110.446,"-7.54,110.446",2910,Stratovolcano
61,1875,1/29/1875,Kelut,Java,Java,Indonesia,-7.93,112.308,"-7.93,112.308",1731,Stratovolcano
62,1883,8/27/1883,Krakatau,Indonesia,Java,Indonesia,-6.102,105.423,"-6.102,105.423",155,Caldera
63,1883,10/10/1883,Krakatau,Indonesia,Java,Indonesia,-6.102,105.423,"-6.102,105.423",155,Caldera
64,1884,2/1/1884,Krakatau,Indonesia,Java,Indonesia,-6.102,105.423,"-6.102,105.423",155,Caldera
65,1885,4/18/1885,Semeru,Java,Java,Indonesia,-8.108,112.922,"-8.108,112.922",3657,Stratovolcano
66,1889,9/6/1889,Banua Wuhu,Sangihe Is-Indonesia,Sangihe,Indonesia,3.138,125.491,"3.138,125.491",-5,Submarine volcano
67,1890,6/29/1890,Makian,Halmahera-Indonesia,Halmahera,Indonesia,0.32,127.4,"0.32,127.4",1357,Stratovolcano
68,1892,5/21/1892,Sorikmarapi,Sumatra,Sumatra,Indonesia,0.686,99.539,"0.686,99.539",2145,Stratovolcano
69,1892,6/7/1892,Awu,Sangihe Is-Indonesia,Sangihe,Indonesia,3.689,125.447,"3.689,125.447",1318,Stratovolcano
70,1895,5/22/1895,Semeru,Java,Java,Indonesia,-8.108,112.922,"-8.108,112.922",3657,Stratovolcano
71,1901,5/22/1901,Kelut,Java,Java,Indonesia,-7.93,112.308,"-7.93,112.308",1731,Stratovolcano
72,1902,12/1/1902,Merapi,Java,Java,Indonesia,-7.54,110.446,"-7.54,110.446",2910,Stratovolcano
73,1907,9/28/1907,Lewotobi,Lesser Sunda Is,Nusa Tenggara,Indonesia,-8.542,122.775,"-8.542,122.775",1703,Stratovolcano
74,1909,9/1/1909,Semeru,Java,Java,Indonesia,-8.108,112.922,"-8.108,112.922",3657,Stratovolcano
75,1911,11/8/1911,Semeru,Java,Java,Indonesia,-8.108,112.922,"-8.108,112.922",3657,Stratovolcano
76,1913,3/14/1913,Awu,Sangihe Is-Indonesia,Sangihe,Indonesia,3.689,125.447,"3.689,125.447",1318,Stratovolcano
77,1913,6/23/1913,Semeru,Java,Java,Indonesia,-8.108,112.922,"-8.108,112.922",3657,Stratovolcano
78,1918,7/18/1918,Banua Wuhu,Sangihe Is-Indonesia,Sangihe,Indonesia,3.138,125.491,"3.138,125.491",-5,Submarine volcano
79,1919,4/3/1919,Banua Wuhu,Sangihe Is-Indonesia,Sangihe,Indonesia,3.138,125.491,"3.138,125.491",-5,Submarine volcano
80,1919,5/19/1919,Kelut,Java,Java,Indonesia,-7.93,112.308,"-7.93,112.308",1731,Stratovolcano
81,1920,7/25/1920,Merapi,Java,Java,Indonesia,-7.54,110.446,"-7.54,110.446",2910,Stratovolcano
82,1923,3/11/1923,Papandayan,Java,Java,Indonesia,-7.32,107.73,"-7.32,107.73",2665,Stratovolcano
83,1923,6/1/1923,Tangkuban Parahu,Java,Java,Indonesia,-6.77,107.6,"-6.77,107.6",2084,Stratovolcano
84,1928,3/26/1928,Krakatau,Indonesia,Java,Indonesia,-6.102,105.423,"-6.102,105.423",155,Caldera
85,1928,5/13/1928,Dieng Volcanic Complex,Java,Java,Indonesia,-7.2,109.879,"-7.2,109.879",2565,Complex volcano
86,1928,8/4/1928,Paluweh,Lesser Sunda Is,Nusa Tenggara,Indonesia,-8.32,121.708,"-8.32,121.708",875,Stratovolcano
87,1930,3/17/1930,Krakatau,Indonesia,Java,Indonesia,-6.102,105.423,"-6.102,105.423",155,Caldera
88,1930,12/18/1930,Merapi,Java,Java,Indonesia,-7.54,110.446,"-7.54,110.446",2910,Stratovolcano
89,1932,2/1/1932,Merapi,Java,Java,Indonesia,-7.54,110.446,"-7.54,110.446",2910,Stratovolcano
90,1939,10/13/1939,Dieng Volcanic Complex,Java,Java,Indonesia,-7.2,109.879,"-7.2,109.879",2565,Complex volcano
91,1940,6/20/1940,Karangetang,Sangihe Is-Indonesia,Sangihe,Indonesia,2.781,125.407,"2.781,125.407",1797,Stratovolcano
92,1941,9/21/1941,Semeru,Java,Java,Indonesia,-8.108,112.922,"-8.108,112.922",3657,Stratovolcano
93,1944,12/4/1944,Dieng Volcanic Complex,Java,Java,Indonesia,-7.2,109.879,"-7.2,109.879",2565,Complex volcano
94,1946,2/1/1946,Semeru,Java,Java,Indonesia,-8.108,112.922,"-8.108,112.922",3657,Stratovolcano
95,1946,10/29/1946,Semeru,Java,Java,Indonesia,-8.108,112.922,"-8.108,112.922",3657,Stratovolcano
96,1948,4/7/1948,Iliwerung,Lesser Sunda Is,Nusa Tenggara,Indonesia,-8.53,123.57,"-8.53,123.57",1018,Complex volcano
97,1950,8/28/1950,Semeru,Java,Java,Indonesia,-8.108,112.922,"-8.108,112.922",3657,Stratovolcano
98,1951,8/31/1951,Kelut,Java,Java,Indonesia,-7.93,112.308,"-7.93,112.308",1731,Stratovolcano
99,1953,3/23/1953,Merapi,Java,Java,Indonesia,-7.54,110.446,"-7.54,110.446",2910,Stratovolcano
100,1953,6/1/1953,Sirung,Lesser Sunda Is,Nusa Tenggara,Indonesia,-8.508,124.13,"-8.508,124.13",862,Complex volcano
101,1958,7/12/1958,Mahawu,Sulawesi-Indonesia,Sulawesi,Indonesia,1.352,124.865,"1.352,124.865",1299,Stratovolcano
102,1961,5/8/1961,Merapi,Java,Java,Indonesia,-7.54,110.446,"-7.54,110.446",2910,Stratovolcano
103,1962,10/1/1962,Merapi,Java,Java,Indonesia,-7.54,110.446,"-7.54,110.446",2910,Stratovolcano
104,1962,12/31/1962,Gamalama,Halmahera-Indonesia,Halmahera,Indonesia,0.8,127.33,"0.8,127.33",1715,Stratovolcano
105,1963,3/18/1963,Agung,Lesser Sunda Is,Nusa Tenggara,Indonesia,-8.343,115.508,"-8.343,115.508",2997,Stratovolcano
106,1963,5/5/1963,Semeru,Java,Java,Indonesia,-8.108,112.922,"-8.108,112.922",3657,Stratovolcano
107,1963,5/16/1963,Agung,Lesser Sunda Is,Nusa Tenggara,Indonesia,-8.343,115.508,"-8.343,115.508",2997,Stratovolcano
108,1963,9/5/1963,Batur,Lesser Sunda Is,Nusa Tenggara,Indonesia,-8.242,115.375,"-8.242,115.375",1717,Caldera
109,1964,1/1/1964,Paluweh,Lesser Sunda Is,Nusa Tenggara,Indonesia,-8.32,121.708,"-8.32,121.708",875,Stratovolcano
110,1964,12/13/1964,Dieng Volcanic Complex,Java,Java,Indonesia,-7.2,109.879,"-7.2,109.879",2565,Complex volcano
111,1966,4/26/1966,Kelut,Java,Java,Indonesia,-7.93,112.308,"-7.93,112.308",1731,Stratovolcano
112,1966,8/12/1966,Awu,Sangihe Is-Indonesia,Sangihe,Indonesia,3.689,125.447,"3.689,125.447",1318,Stratovolcano
113,1967,8/31/1967,Semeru,Java,Java,Indonesia,-8.108,112.922,"-8.108,112.922",3657,Stratovolcano
114,1969,1/7/1969,Merapi,Java,Java,Indonesia,-7.54,110.446,"-7.54,110.446",2910,Stratovolcano
115,1969,1/28/1969,Iya,Lesser Sunda Is,Nusa Tenggara,Indonesia,-8.891,121.641,"-8.891,121.641",618,Stratovolcano
116,1973,1/1/1973,Paluweh,Lesser Sunda Is,Nusa Tenggara,Indonesia,-8.32,121.708,"-8.32,121.708",875,Stratovolcano
117,1973,12/1/1973,Iliwerung,Lesser Sunda Is,Nusa Tenggara,Indonesia,-8.53,123.57,"-8.53,123.57",1018,Complex volcano
118,1974,2/11/1974,Karangetang,Sangihe Is-Indonesia,Sangihe,Indonesia,2.781,125.407,"2.781,125.407",1797,Stratovolcano
119,1974,10/22/1974,Merapi,Java,Java,Indonesia,-7.54,110.446,"-7.54,110.446",2910,Stratovolcano
120,1975,1/1/1975,Marapi,Sumatra,Sumatra,Indonesia,-0.38,100.474,"-0.38,100.474",2885,Complex volcano
121,1976,8/31/1976,Semeru,Java,Java,Indonesia,-8.108,112.922,"-8.108,112.922",3657,Stratovolcano
122,1976,9/15/1976,Karangetang,Sangihe Is-Indonesia,Sangihe,Indonesia,2.781,125.407,"2.781,125.407",1797,Stratovolcano
123,1976,11/25/1976,Merapi,Java,Java,Indonesia,-7.54,110.446,"-7.54,110.446",2910,Stratovolcano
124,1978,9/19/1978,Semeru,Java,Java,Indonesia,-8.108,112.922,"-8.108,112.922",3657,Stratovolcano
125,1978,1/1/1978,Tangkuban Parahu,Java,Java,Indonesia,-6.77,107.6,"-6.77,107.6",2084,Stratovolcano
126,1979,2/20/1979,Dieng Volcanic Complex,Java,Java,Indonesia,-7.2,109.879,"-7.2,109.879",2565,Complex volcano
127,1979,7/18/1979,Iliwerung,Lesser Sunda Is,Nusa Tenggara,Indonesia,-8.53,123.57,"-8.53,123.57",1018,Complex volcano
128,1981,3/29/1981,Semeru,Java,Java,Indonesia,-8.108,112.922,"-8.108,112.922",3657,Stratovolcano
129,1981,5/14/1981,Semeru,Java,Java,Indonesia,-8.108,112.922,"-8.108,112.922",3657,Stratovolcano
130,1981,9/5/1981,Paluweh,Lesser Sunda Is,Nusa Tenggara,Indonesia,-8.32,121.708,"-8.32,121.708",875,Stratovolcano
131,1981,10/20/1981,Krakatau,Indonesia,Java,Indonesia,-6.102,105.423,"-6.102,105.423",155,Caldera
132,1982,5/17/1982,Galunggung,Java,Java,Indonesia,-7.25,108.058,"-7.25,108.058",2168,Stratovolcano
133,1983,7/23/1983,Colo,Sulawesi-Indonesia,Sulawesi,Indonesia,-0.162,121.601,"-0.162,121.601",404,Stratovolcano
134,1983,8/17/1983,Iliwerung,Lesser Sunda Is,Nusa Tenggara,Indonesia,-8.53,123.57,"-8.53,123.57",1018,Complex volcano
135,1985,5/10/1985,Semeru,Java,Java,Indonesia,-8.108,112.922,"-8.108,112.922",3657,Stratovolcano
136,1986,10/15/1986,Merapi,Java,Java,Indonesia,-7.54,110.446,"-7.54,110.446",2910,Stratovolcano
137,1987,12/1/1987,Sirung,Lesser Sunda Is,Nusa Tenggara,Indonesia,-8.508,124.13,"-8.508,124.13",862,Complex volcano
138,1988,7/30/1988,Semeru,Java,Java,Indonesia,-8.108,112.922,"-8.108,112.922",3657,Stratovolcano
139,1990,2/10/1990,Kelut,Java,Java,Indonesia,-7.93,112.308,"-7.93,112.308",1731,Stratovolcano
140,1990,11/25/1990,Kelut,Java,Java,Indonesia,-7.93,112.308,"-7.93,112.308",1731,Stratovolcano
141,1991,10/24/1991,Lokon-Empung,Sulawesi-Indonesia,Sulawesi,Indonesia,1.358,124.792,"1.358,124.792",1580,Stratovolcano
142,1992,1/21/1992,Karangetang,Sangihe Is-Indonesia,Sangihe,Indonesia,2.781,125.407,"2.781,125.407",1797,Stratovolcano
143,1992,3/18/1992,Dieng Volcanic Complex,Java,Java,Indonesia,-7.2,109.879,"-7.2,109.879",2565,Complex volcano
144,1992,5/11/1992,Karangetang,Sangihe Is-Indonesia,Sangihe,Indonesia,2.781,125.407,"2.781,125.407",1797,Stratovolcano
145,1992,7/5/1992,Marapi,Sumatra,Sumatra,Indonesia,-0.38,100.474,"-0.38,100.474",2885,Complex volcano
146,1992,1/1/1992,Semeru,Java,Java,Indonesia,-8.108,112.922,"-8.108,112.922",3657,Stratovolcano
147,1993,1/21/1993,Wurlali,Banda Sea,Banda,Indonesia,-7.125,128.675,"-7.125,128.675",868,Stratovolcano
148,1993,6/13/1993,Krakatau,Indonesia,Java,Indonesia,-6.102,105.423,"-6.102,105.423",155,Caldera
149,1994,2/3/1994,Semeru,Java,Java,Indonesia,-8.108,112.922,"-8.108,112.922",3657,Stratovolcano
150,1994,11/3/1994,Rinjani,Lesser Sunda Is,Nusa Tenggara,Indonesia,-8.42,116.47,"-8.42,116.47",3726,Stratovolcano
151,1994,11/22/1994,Merapi,Java,Java,Indonesia,-7.54,110.446,"-7.54,110.446",2910,Stratovolcano
152,1995,5/15/1995,Kelimutu,Lesser Sunda Is,Nusa Tenggara,Indonesia,-8.77,121.82,"-8.77,121.82",1639,Complex volcano
153,1997,1/14/1997,Merapi,Java,Java,Indonesia,-7.54,110.446,"-7.54,110.446",2910,Stratovolcano
154,1997,4/17/1997,Karangetang,Sangihe Is-Indonesia,Sangihe,Indonesia,2.781,125.407,"2.781,125.407",1797,Stratovolcano
155,1997,9/2/1997,Semeru,Java,Java,Indonesia,-8.108,112.922,"-8.108,112.922",3657,Stratovolcano
156,1998,7/1/1998,Kelut,Java,Java,Indonesia,-7.93,112.308,"-7.93,112.308",1731,Stratovolcano
157,2000,7/27/2000,Semeru,Java,Java,Indonesia,-8.108,112.922,"-8.108,112.922",3657,Stratovolcano
158,2000,11/1/2000,Merapi,Java,Java,Indonesia,-7.54,110.446,"-7.54,110.446",2910,Stratovolcano
159,2001,8/5/2001,Merapi,Java,Java,Indonesia,-7.54,110.446,"-7.54,110.446",2910,Stratovolcano
160,2002,1/3/2002,Karangetang,Sangihe Is-Indonesia,Sangihe,Indonesia,2.781,125.407,"2.781,125.407",1797,Stratovolcano
161,2002,1/1/2002,Semeru,Java,Java,Indonesia,-8.108,112.922,"-8.108,112.922",3657,Stratovolcano
162,2004,1/29/2004,Egon,Lesser Sunda Is,Nusa Tenggara,Indonesia,-8.676,122.455,"-8.676,122.455",1661,Stratovolcano
163,2004,6/8/2004,Tengger Caldera,Java,Java,Indonesia,-7.942,112.95,"-7.942,112.95",2329,Stratovolcano
164,2006,6/14/2006,Merapi,Java,Java,Indonesia,-7.54,110.446,"-7.54,110.446",2910,Stratovolcano
165,2007,7/7/2007,Salak,Java,Java,Indonesia,-6.72,106.73,"-6.72,106.73",2211,Stratovolcano
166,2010,8/6/2010,Karangetang,Sangihe Is-Indonesia,Sangihe,Indonesia,2.781,125.407,"2.781,125.407",1797,Stratovolcano
167,2010,8/30/2010,Sinabung,Sumatra,Sumatra,Indonesia,3.17,98.392,"3.17,98.392",2460,Stratovolcano
168,2010,10/26/2010,Merapi,Java,Java,Indonesia,-7.54,110.446,"-7.54,110.446",2910,Stratovolcano
169,2010,12/28/2010,Tengger Caldera,Java,Java,Indonesia,-7.942,112.95,"-7.942,112.95",2329,Stratovolcano
170,2011,1/3/2011,Merapi,Java,Java,Indonesia,-7.54,110.446,"-7.54,110.446",2910,Stratovolcano
171,2011,3/18/2011,Karangetang,Sangihe Is-Indonesia,Sangihe,Indonesia,2.781,125.407,"2.781,125.407",1797,Stratovolcano
172,2011,7/17/2011,Lokon-Empung,Sulawesi-Indonesia,Sulawesi,Indonesia,1.358,124.792,"1.358,124.792",1580,Stratovolcano
173,2011,12/27/2011,Gamalama,Halmahera-Indonesia,Halmahera,Indonesia,0.8,127.33,"0.8,127.33",1715,Stratovolcano
174,2013,2/12/2013,Merapi,Java,Java,Indonesia,-7.54,110.446,"-7.54,110.446",2910,Stratovolcano
175,2013,2/1/2013,Paluweh,Lesser Sunda Is,Nusa Tenggara,Indonesia,-8.32,121.708,"-8.32,121.708",875,Stratovolcano
176,2013,8/10/2013,Paluweh,Lesser Sunda Is,Nusa Tenggara,Indonesia,-8.32,121.708,"-8.32,121.708",875,Stratovolcano
177,2013,9/15/2013,Sinabung,Sumatra,Sumatra,Indonesia,3.17,98.392,"3.17,98.392",2460,Stratovolcano
178,2014,2/1/2014,Sinabung,Sumatra,Sumatra,Indonesia,3.17,98.392,"3.17,98.392",2460,Stratovolcano
179,2014,2/13/2014,Kelut,Java,Java,Indonesia,-7.93,112.308,"-7.93,112.308",1731,Stratovolcano
180,2014,12/18/2014,Gamalama,Halmahera-Indonesia,Halmahera,Indonesia,0.8,127.33,"0.8,127.33",1715,Stratovolcano
181,2015,2/20/2015,Sinabung,Sumatra,Sumatra,Indonesia,3.17,98.392,"3.17,98.392",2460,Stratovolcano
182,2015,5/7/2015,Karangetang,Sangihe Is-Indonesia,Sangihe,Indonesia,2.781,125.407,"2.781,125.407",1797,Stratovolcano
183,2015,10/16/2015,Sinabung,Sumatra,Sumatra,Indonesia,3.17,98.392,"3.17,98.392",2460,Stratovolcano
184,2016,5/9/2016,Sinabung,Sumatra,Sumatra,Indonesia,3.17,98.392,"3.17,98.392",2460,Stratovolcano
185,2016,5/21/2016,Sinabung,Sumatra,Sumatra,Indonesia,3.17,98.392,"3.17,98.392",2460,Stratovolcano
186,2016,9/27/2016,Rinjani,Lesser Sunda Is,Nusa Tenggara,Indonesia,-8.42,116.47,"-8.42,116.47",3726,Stratovolcano
187,2017,4/13/2017,Sinabung,Sumatra,Sumatra,Indonesia,3.17,98.392,"3.17,98.392",2460,Stratovolcano
188,2017,7/1/2017,Dieng Volcanic Complex,Java,Java,Indonesia,-7.2,109.879,"-7.2,109.879",2565,Complex volcano
189,2017,12/18/2017,Merapi,Java,Java,Indonesia,-7.54,110.446,"-7.54,110.446",2910,Stratovolcano
190,2017,12/27/2017,Sinabung,Sumatra,Sumatra,Indonesia,3.17,98.392,"3.17,98.392",2460,Stratovolcano
191,2018,3/21/2018,Ijen,Java,Java,Indonesia,-8.058,114.242,"-8.058,114.242",2769,Stratovolcano
192,2018,12/22/2018,Krakatau,Indonesia,Java,Indonesia,-6.102,105.423,"-6.102,105.423",155,Caldera
193,2019,5/7/2019,Sinabung,Sumatra,Sumatra,Indonesia,3.17,98.392,"3.17,98.392",2460,Stratovolcano
194,2020,5/29/2020,Ijen,Java,Java,Indonesia,-8.058,114.242,"-8.058,114.242",2769,Stratovolcano
195,2021,5/7/2021,Sinabung,Sumatra,Sumatra,Indonesia,3.17,98.392,"3.17,98.392",2460,Stratovolcano
196,2021,3/2/2021,Sinabung,Sumatra,Sumatra,Indonesia,3.17,98.392,"3.17,98.392",2460,Stratovolcano
197,2021,2/7/2021,Raung,Java,Java,Indonesia,-8.119,114.056,"-8.119,114.056",3260,Stratovolcano
198,2021,1/16/2021,Semeru,Java,Java,Indonesia,-8.108,112.922,"-8.108,112.922",3657,Stratovolcano
199,2021,1/27/2021,Merapi,Java,Java,Indonesia,-7.54,110.446,"-7.54,110.446",2910,Stratovolcano
200,2021,4/29/2021,Dieng Volcanic Complex,Java,Java,Indonesia,-7.2,109.879,"-7.2,109.879",2565,Complex volcano
